date,Donald Trump,Putin,MeToo,Bitcoin,ISIS,country
2010-01-01,17,21,2,0,68,United States
2010-01-01,0,20,6,0,13,Germany
2010-01-01,8,0,0,0,32,Canada
2010-01-01,6,23,6,0,34,United Kingdom
2010-01-01,0,0,0,0,0,Norway
2010-01-02,13,18,1,0,59,United States
2010-01-02,7,7,0,0,20,Canada
2010-01-02,14,10,0,0,62,United Kingdom
2010-01-02,17,11,0,0,44,Germany
2010-01-02,0,0,0,0,33,Norway
2010-01-03,13,0,0,0,26,Canada
2010-01-03,4,5,0,0,67,United Kingdom
2010-01-03,0,0,0,0,0,Norway
2010-01-03,0,15,0,0,35,Germany
2010-01-03,17,6,0,0,67,United States
2010-01-04,0,0,0,0,45,Germany
2010-01-04,15,11,0,0,73,United States
2010-01-04,0,11,5,0,55,Canada
2010-01-04,6,10,0,0,45,United Kingdom
2010-01-04,0,0,0,0,23,Norway
2010-01-05,20,9,0,0,76,United States
2010-01-05,15,0,0,0,57,United Kingdom
2010-01-05,5,5,0,0,68,Canada
2010-01-05,0,8,0,0,50,Germany
2010-01-05,22,0,0,0,0,Norway
2010-01-06,0,0,0,0,0,Norway
2010-01-06,32,9,0,0,61,United Kingdom
2010-01-06,17,6,0,0,57,United States
2010-01-06,15,0,0,0,49,Canada
2010-01-06,4,16,0,0,73,Germany
2010-01-07,23,0,0,0,0,Norway
2010-01-07,6,0,0,0,36,United Kingdom
2010-01-07,12,10,0,0,55,United States
2010-01-07,10,10,0,0,24,Canada
2010-01-07,0,15,0,0,45,Germany
2010-01-08,35,10,0,0,58,United Kingdom
2010-01-08,19,8,0,0,53,United States
2010-01-08,4,16,0,0,62,Germany
2010-01-08,0,5,0,0,20,Canada
2010-01-08,25,0,0,0,0,Norway
2010-01-09,7,0,0,0,25,Canada
2010-01-09,78,4,0,0,43,United Kingdom
2010-01-09,0,0,0,0,0,Norway
2010-01-09,10,5,0,0,40,Germany
2010-01-09,13,8,1,0,61,United States
2010-01-10,0,10,0,0,28,Germany
2010-01-10,20,0,7,0,6,Canada
2010-01-10,90,8,0,0,55,United Kingdom
2010-01-10,0,0,0,0,0,Norway
2010-01-10,3,11,0,0,68,United States
2010-01-11,7,7,0,0,60,Germany
2010-01-11,10,0,0,0,24,Canada
2010-01-11,43,3,0,0,37,United Kingdom
2010-01-11,12,14,0,0,68,United States
2010-01-11,0,0,0,0,0,Norway
2010-01-12,21,6,0,0,59,United Kingdom
2010-01-12,0,4,0,0,46,Germany
2010-01-12,14,10,1,0,65,United States
2010-01-12,0,0,0,0,0,Norway
2010-01-12,5,0,5,0,37,Canada
2010-01-13,5,5,0,0,28,Canada
2010-01-13,4,7,3,0,39,Germany
2010-01-13,13,11,1,0,49,United States
2010-01-13,21,0,0,0,22,Norway
2010-01-13,29,0,0,0,37,United Kingdom
2010-01-14,12,16,0,0,58,United Kingdom
2010-01-14,0,8,4,0,66,Germany
2010-01-14,12,7,0,0,75,United States
2010-01-14,22,0,0,0,0,Norway
2010-01-14,10,0,0,0,34,Canada
2010-01-15,0,12,4,0,35,Germany
2010-01-15,0,0,0,0,0,Norway
2010-01-15,20,7,3,0,75,United Kingdom
2010-01-15,7,8,0,0,62,United States
2010-01-15,31,5,0,0,39,Canada
2010-01-16,0,0,0,0,25,Canada
2010-01-16,9,9,0,0,55,United States
2010-01-16,0,0,0,0,0,Norway
2010-01-16,21,27,0,0,63,Germany
2010-01-16,43,18,4,0,70,United Kingdom
2010-01-17,13,0,0,0,12,Canada
2010-01-17,12,6,3,0,48,United States
2010-01-17,0,0,0,0,0,Norway
2010-01-17,0,14,0,0,41,Germany
2010-01-17,36,8,4,0,44,United Kingdom
2010-01-18,21,9,0,0,45,United Kingdom
2010-01-18,15,15,0,0,42,Canada
2010-01-18,0,0,0,0,21,Norway
2010-01-18,16,13,0,0,60,United States
2010-01-18,4,11,0,0,38,Germany
2010-01-19,18,3,0,0,54,United Kingdom
2010-01-19,19,5,0,0,23,Canada
2010-01-19,0,21,0,0,0,Norway
2010-01-19,13,5,1,0,61,United States
2010-01-19,0,4,0,0,42,Germany
2010-01-20,20,5,0,0,48,Canada
2010-01-20,0,0,0,0,0,Norway
2010-01-20,30,6,0,0,70,United Kingdom
2010-01-20,20,9,0,0,54,United States
2010-01-20,0,15,0,0,64,Germany
