,date,MeToo,country
1,2010-01-01,6,Germany
8,2010-01-02,0,Germany
13,2010-01-03,0,Germany
15,2010-01-04,0,Germany
23,2010-01-05,0,Germany
29,2010-01-06,0,Germany
34,2010-01-07,0,Germany
37,2010-01-08,0,Germany
43,2010-01-09,0,Germany
45,2010-01-10,0,Germany
50,2010-01-11,0,Germany
56,2010-01-12,0,Germany
61,2010-01-13,3,Germany
66,2010-01-14,4,Germany
70,2010-01-15,4,Germany
78,2010-01-16,0,Germany
83,2010-01-17,0,Germany
89,2010-01-18,0,Germany
94,2010-01-19,0,Germany
99,2010-01-20,0,Germany
103,2010-01-21,0,Germany
105,2010-01-22,0,Germany
110,2010-01-23,0,Germany
118,2010-01-24,4,Germany
124,2010-01-25,0,Germany
125,2010-01-26,0,Germany
133,2010-01-27,0,Germany
137,2010-01-28,4,Germany
142,2010-01-29,0,Germany
148,2010-01-30,5,Germany
151,2010-01-31,0,Germany
157,2010-02-01,0,Germany
161,2010-02-02,0,Germany
166,2010-02-03,0,Germany
170,2010-02-04,0,Germany
176,2010-02-05,0,Germany
181,2010-02-06,0,Germany
187,2010-02-07,0,Germany
191,2010-02-08,3,Germany
197,2010-02-09,0,Germany
202,2010-02-10,0,Germany
207,2010-02-11,0,Germany
214,2010-02-12,0,Germany
218,2010-02-13,0,Germany
223,2010-02-14,0,Germany
227,2010-02-15,0,Germany
231,2010-02-16,4,Germany
237,2010-02-17,3,Germany
244,2010-02-18,0,Germany
246,2010-02-19,0,Germany
252,2010-02-20,0,Germany
256,2010-02-21,0,Germany
262,2010-02-22,0,Germany
265,2010-02-23,0,Germany
271,2010-02-24,0,Germany
275,2010-02-25,0,Germany
284,2010-02-26,0,Germany
289,2010-02-27,0,Germany
294,2010-02-28,4,Germany
295,2010-03-01,0,Germany
303,2010-03-02,0,Germany
308,2010-03-03,4,Germany
311,2010-03-04,0,Germany
317,2010-03-05,0,Germany
322,2010-03-06,0,Germany
329,2010-03-07,0,Germany
332,2010-03-08,0,Germany
337,2010-03-09,0,Germany
344,2010-03-10,0,Germany
349,2010-03-11,0,Germany
350,2010-03-12,0,Germany
355,2010-03-13,0,Germany
361,2010-03-14,0,Germany
368,2010-03-15,3,Germany
372,2010-03-16,0,Germany
378,2010-03-17,0,Germany
380,2010-03-18,0,Germany
385,2010-03-19,0,Germany
392,2010-03-20,0,Germany
397,2010-03-21,0,Germany
401,2010-03-22,0,Germany
405,2010-03-23,0,Germany
413,2010-03-24,0,Germany
418,2010-03-25,0,Germany
422,2010-03-26,0,Germany
429,2010-03-27,0,Germany
433,2010-03-28,0,Germany
438,2010-03-29,0,Germany
440,2010-03-30,7,Germany
448,2010-03-31,0,Germany
450,2010-04-01,0,Germany
