date,ski,country
2010-01-01,77,Norway
2010-01-02,63,Norway
2010-01-03,86,Norway
2010-01-04,100,Norway
2010-01-05,62,Norway
2010-01-06,76,Norway
2010-01-07,95,Norway
2010-01-08,57,Norway
2010-01-09,66,Norway
2010-01-10,64,Norway
2010-01-11,67,Norway
2010-01-12,49,Norway
2010-01-13,41,Norway
2010-01-14,58,Norway
2010-01-15,57,Norway
2010-01-16,77,Norway
2010-01-17,74,Norway
2010-01-18,55,Norway
2010-01-19,55,Norway
2010-01-20,49,Norway
2010-01-21,85,Norway
2010-01-22,78,Norway
2010-01-23,85,Norway
2010-01-24,95,Norway
2010-01-25,58,Norway
2010-01-26,49,Norway
2010-01-27,61,Norway
2010-01-28,49,Norway
2010-01-29,51,Norway
2010-01-30,48,Norway
2010-01-31,57,Norway
2010-02-01,51,Norway
2010-02-02,49,Norway
2010-02-03,41,Norway
2010-02-04,47,Norway
2010-02-05,45,Norway
2010-02-06,58,Norway
2010-02-07,41,Norway
2010-02-08,48,Norway
2010-02-09,39,Norway
2010-02-10,38,Norway
2010-02-11,47,Norway
2010-02-12,52,Norway
2010-02-13,66,Norway
2010-02-14,41,Norway
2010-02-15,63,Norway
2010-02-16,61,Norway
2010-02-17,62,Norway
2010-02-18,57,Norway
2010-02-19,65,Norway
2010-02-20,57,Norway
2010-02-21,66,Norway
2010-02-22,53,Norway
2010-02-23,51,Norway
2010-02-24,60,Norway
2010-02-25,44,Norway
2010-02-26,67,Norway
2010-02-27,70,Norway
2010-02-28,56,Norway
2010-03-01,64,Norway
2010-03-02,34,Norway
2010-03-03,57,Norway
2010-03-04,38,Norway
2010-03-05,61,Norway
2010-03-06,56,Norway
2010-03-07,52,Norway
2010-03-08,41,Norway
2010-03-09,39,Norway
2010-03-10,38,Norway
2010-03-11,43,Norway
2010-03-12,47,Norway
2010-03-13,50,Norway
2010-03-14,49,Norway
2010-03-15,44,Norway
2010-03-16,45,Norway
2010-03-17,44,Norway
2010-03-18,44,Norway
2010-03-19,49,Norway
2010-03-20,47,Norway
2010-03-21,45,Norway
2010-03-22,30,Norway
2010-03-23,28,Norway
2010-03-24,37,Norway
2010-03-25,43,Norway
2010-03-26,32,Norway
2010-03-27,37,Norway
2010-03-28,31,Norway
2010-03-29,34,Norway
2010-03-30,36,Norway
2010-03-31,45,Norway
2010-04-01,38,Norway
2010-04-02,30,Norway
2010-04-03,22,Norway
2010-04-04,26,Norway
2010-04-05,35,Norway
2010-04-06,42,Norway
2010-04-07,29,Norway
2010-04-08,19,Norway
2010-04-09,17,Norway
2010-04-10,31,Norway
2010-04-11,16,Norway
2010-04-12,26,Norway
2010-04-13,24,Norway
2010-04-14,26,Norway
2010-04-15,18,Norway
2010-04-16,20,Norway
2010-04-17,26,Norway
2010-04-18,14,Norway
2010-04-19,10,Norway
2010-04-20,25,Norway
2010-04-21,19,Norway
2010-04-22,18,Norway
2010-04-23,19,Norway
2010-04-24,19,Norway
2010-04-25,13,Norway
2010-04-26,13,Norway
2010-04-27,20,Norway
2010-04-28,18,Norway
2010-04-29,10,Norway
2010-04-30,15,Norway
2010-05-01,21,Norway
2010-05-02,11,Norway
2010-05-03,20,Norway
2010-05-04,17,Norway
2010-05-05,14,Norway
2010-05-06,17,Norway
2010-05-07,12,Norway
2010-05-08,21,Norway
2010-05-09,12,Norway
2010-05-10,16,Norway
2010-05-11,14,Norway
2010-05-12,9,Norway
2010-05-13,11,Norway
2010-05-14,12,Norway
2010-05-15,26,Norway
2010-05-16,10,Norway
2010-05-17,8,Norway
2010-05-18,13,Norway
2010-05-19,18,Norway
2010-05-20,25,Norway
2010-05-21,11,Norway
2010-05-22,7,Norway
2010-05-23,8,Norway
2010-05-24,16,Norway
2010-05-25,15,Norway
2010-05-26,18,Norway
2010-05-27,18,Norway
2010-05-28,12,Norway
2010-05-29,10,Norway
2010-05-30,11,Norway
2010-05-31,15,Norway
2010-06-01,19,Norway
2010-06-02,13,Norway
2010-06-03,19,Norway
2010-06-04,20,Norway
2010-06-05,26,Norway
2010-06-06,11,Norway
2010-06-07,18,Norway
2010-06-08,15,Norway
2010-06-09,21,Norway
2010-06-10,13,Norway
2010-06-11,16,Norway
2010-06-12,14,Norway
2010-06-13,22,Norway
2010-06-14,10,Norway
2010-06-15,11,Norway
2010-06-16,19,Norway
2010-06-17,14,Norway
2010-06-18,21,Norway
2010-06-19,15,Norway
2010-06-20,16,Norway
2010-06-21,16,Norway
2010-06-22,20,Norway
2010-06-23,19,Norway
2010-06-24,18,Norway
2010-06-25,13,Norway
2010-06-26,12,Norway
2010-06-27,7,Norway
2010-06-28,15,Norway
2010-06-29,10,Norway
2010-06-30,23,Norway
2010-07-01,14,Norway
2010-07-02,24,Norway
2010-07-03,19,Norway
2010-07-04,17,Norway
2010-07-05,18,Norway
2010-07-06,10,Norway
2010-07-07,7,Norway
2010-07-08,14,Norway
2010-07-09,18,Norway
2010-07-10,30,Norway
2010-07-11,15,Norway
2010-07-12,18,Norway
2010-07-13,20,Norway
2010-07-14,11,Norway
2010-07-15,17,Norway
2010-07-16,18,Norway
2010-07-17,18,Norway
2010-07-18,12,Norway
2010-07-19,22,Norway
2010-07-20,25,Norway
2010-07-21,24,Norway
2010-07-22,11,Norway
2010-07-23,19,Norway
2010-07-24,28,Norway
2010-07-25,14,Norway
2010-07-26,21,Norway
2010-07-27,21,Norway
2010-07-28,11,Norway
2010-07-29,27,Norway
2010-07-30,17,Norway
2010-07-31,19,Norway
2010-08-01,12,Norway
2010-08-02,19,Norway
2010-08-03,25,Norway
2010-08-04,25,Norway
2010-08-05,24,Norway
2010-08-06,19,Norway
2010-08-07,19,Norway
2010-08-08,19,Norway
2010-08-09,27,Norway
2010-08-10,23,Norway
2010-08-11,31,Norway
2010-08-12,12,Norway
2010-08-13,11,Norway
2010-08-14,14,Norway
2010-08-15,23,Norway
2010-08-16,20,Norway
2010-08-17,14,Norway
2010-08-18,16,Norway
2010-08-19,26,Norway
2010-08-20,23,Norway
2010-08-21,18,Norway
2010-08-22,26,Norway
2010-08-23,30,Norway
2010-08-24,27,Norway
2010-08-25,25,Norway
2010-08-26,22,Norway
2010-08-27,36,Norway
2010-08-28,25,Norway
2010-08-29,30,Norway
2010-08-30,30,Norway
2010-08-31,26,Norway
2010-09-01,65,Norway
2010-09-02,17,Norway
2010-09-03,32,Norway
2010-09-04,27,Norway
2010-09-05,17,Norway
2010-09-06,29,Norway
2010-09-07,32,Norway
2010-09-08,16,Norway
2010-09-09,31,Norway
2010-09-10,17,Norway
2010-09-11,26,Norway
2010-09-12,28,Norway
2010-09-13,32,Norway
2010-09-14,22,Norway
2010-09-15,22,Norway
2010-09-16,25,Norway
2010-09-17,27,Norway
2010-09-18,22,Norway
2010-09-19,20,Norway
2010-09-20,30,Norway
2010-09-21,22,Norway
2010-09-22,35,Norway
2010-09-23,33,Norway
2010-09-24,17,Norway
2010-09-25,31,Norway
2010-09-26,33,Norway
2010-09-27,31,Norway
2010-09-28,29,Norway
2010-09-29,24,Norway
2010-09-30,30,Norway
2010-10-01,22,Norway
2010-10-02,20,Norway
2010-10-03,26,Norway
2010-10-04,33,Norway
2010-10-05,23,Norway
2010-10-06,25,Norway
2010-10-07,26,Norway
2010-10-08,32,Norway
2010-10-09,24,Norway
2010-10-10,28,Norway
2010-10-11,32,Norway
2010-10-12,26,Norway
2010-10-13,26,Norway
2010-10-14,33,Norway
2010-10-15,27,Norway
2010-10-16,34,Norway
2010-10-17,28,Norway
2010-10-18,34,Norway
2010-10-19,31,Norway
2010-10-20,27,Norway
2010-10-21,31,Norway
2010-10-22,41,Norway
2010-10-23,22,Norway
2010-10-24,40,Norway
2010-10-25,43,Norway
2010-10-26,38,Norway
2010-10-27,24,Norway
2010-10-28,31,Norway
2010-10-29,28,Norway
2010-10-30,30,Norway
2010-10-31,36,Norway
2010-11-01,32,Norway
2010-11-02,33,Norway
2010-11-03,32,Norway
2010-11-04,22,Norway
2010-11-05,39,Norway
2010-11-06,51,Norway
2010-11-07,32,Norway
2010-11-08,32,Norway
2010-11-09,38,Norway
2010-11-10,46,Norway
2010-11-11,40,Norway
2010-11-12,39,Norway
2010-11-13,39,Norway
2010-11-14,50,Norway
2010-11-15,49,Norway
2010-11-16,50,Norway
2010-11-17,36,Norway
2010-11-18,36,Norway
2010-11-19,50,Norway
2010-11-20,54,Norway
2010-11-21,58,Norway
2010-11-22,44,Norway
2010-11-23,40,Norway
2010-11-24,34,Norway
2010-11-25,40,Norway
2010-11-26,34,Norway
2010-11-27,34,Norway
2010-11-28,48,Norway
2010-11-29,38,Norway
2010-11-30,39,Norway
2010-12-01,55,Norway
2010-12-02,52,Norway
2010-12-03,44,Norway
2010-12-04,58,Norway
2010-12-05,62,Norway
2010-12-06,50,Norway
2010-12-07,45,Norway
2010-12-08,50,Norway
2010-12-09,51,Norway
2010-12-10,39,Norway
2010-12-11,54,Norway
2010-12-12,47,Norway
2010-12-13,43,Norway
2010-12-14,46,Norway
2010-12-15,42,Norway
2010-12-16,49,Norway
2010-12-17,46,Norway
2010-12-18,33,Norway
2010-12-19,67,Norway
2010-12-20,61,Norway
2010-12-21,47,Norway
2010-12-22,51,Norway
2010-12-23,41,Norway
2010-12-24,45,Norway
2010-12-25,58,Norway
2010-12-26,66,Norway
2010-12-27,85,Norway
2010-12-28,83,Norway
2010-12-29,100,Norway
2010-12-30,72,Norway
2010-12-31,92,Norway
2011-01-01,50,Norway
2011-01-02,55,Norway
2011-01-03,44,Norway
2011-01-04,37,Norway
2011-01-05,41,Norway
2011-01-06,47,Norway
2011-01-07,35,Norway
2011-01-08,63,Norway
2011-01-09,43,Norway
2011-01-10,45,Norway
2011-01-11,31,Norway
2011-01-12,33,Norway
2011-01-13,35,Norway
2011-01-14,31,Norway
2011-01-15,45,Norway
2011-01-16,42,Norway
2011-01-17,37,Norway
2011-01-18,25,Norway
2011-01-19,37,Norway
2011-01-20,25,Norway
2011-01-21,39,Norway
2011-01-22,40,Norway
2011-01-23,46,Norway
2011-01-24,38,Norway
2011-01-25,30,Norway
